	mean_flush	mean_caudate	detect_flush	detect_caudate	pval	qval	Gene	Ctype	dir
OCIAD1	0.250	0.091	0.238	0.057	2.97E-05	9.37E-04	OCIAD1	Hepatocyte	1
PSMF1	0.161	0.022	0.159	0.016	3.00E-05	9.44E-04	PSMF1	Hepatocyte	1
BTG13	0.678	0.415	0.554	0.270	3.03E-05	9.51E-04	BTG1	Hepatocyte	1
CHCHD10	1.584	1.276	0.885	0.541	3.10E-05	9.71E-04	CHCHD10	Hepatocyte	1
MMADHC1	0.280	0.100	0.270	0.090	3.19E-05	9.95E-04	MMADHC	Hepatocyte	1
SNX3	0.427	0.238	0.399	0.164	3.23E-05	1.00E-03	SNX3	Hepatocyte	1
HSD17B11	0.224	0.060	0.219	0.049	3.24E-05	1.00E-03	HSD17B11	Hepatocyte	1
HSD17B12	0.204	0.053	0.199	0.041	3.26E-05	1.01E-03	HSD17B12	Hepatocyte	1
HERPUD12	0.222	0.059	0.220	0.049	3.27E-05	1.01E-03	HERPUD1	Hepatocyte	1
P4HB2	0.479	0.251	0.430	0.197	3.29E-05	1.01E-03	P4HB	Hepatocyte	1
PHGDH	0.208	0.049	0.203	0.041	3.31E-05	1.02E-03	PHGDH	Hepatocyte	1
HTATIP2	0.159	0.016	0.157	0.016	3.37E-05	1.03E-03	HTATIP2	Hepatocyte	1
PLIN2	0.532	0.262	0.406	0.180	3.41E-05	1.04E-03	PLIN2	Hepatocyte	1
PGAM11	0.379	0.175	0.347	0.131	3.53E-05	1.08E-03	PGAM1	Hepatocyte	1
SSR1	0.155	0.016	0.155	0.016	3.59E-05	1.09E-03	SSR1	Hepatocyte	1
TMSB102	0.945	3.193	0.663	0.648	3.63E-05	1.10E-03	TMSB10	Hepatocyte	-1
CCT81	0.176	0.035	0.175	0.025	3.68E-05	1.11E-03	CCT8	Hepatocyte	1
PTS	0.197	0.051	0.190	0.033	3.92E-05	1.18E-03	PTS	Hepatocyte	1
SKP1	0.845	0.654	0.658	0.344	3.95E-05	1.19E-03	SKP1	Hepatocyte	1
ALAS1	0.247	0.072	0.231	0.057	3.98E-05	1.19E-03	ALAS1	Hepatocyte	1
RHOC1	0.281	0.120	0.266	0.082	4.09E-05	1.22E-03	RHOC	Hepatocyte	1
BEST1	0.019	0.123	0.019	0.090	4.10E-05	1.22E-03	BEST1	Hepatocyte	-1
PRR13	0.303	0.116	0.289	0.098	4.11E-05	1.22E-03	PRR13	Hepatocyte	1
PPIB1	0.866	0.585	0.684	0.377	4.29E-05	1.27E-03	PPIB	Hepatocyte	1
NAA20	0.145	0.013	0.141	0.008	4.39E-05	1.30E-03	NAA20	Hepatocyte	1
TTPA	0.201	0.057	0.198	0.041	4.50E-05	1.33E-03	TTPA	Hepatocyte	1
AGXT	1.563	1.078	0.834	0.549	4.80E-05	1.41E-03	AGXT	Hepatocyte	1
ALDOC	0.240	0.075	0.231	0.066	4.79E-05	1.41E-03	ALDOC	Hepatocyte	1
ATP6V1G1	0.429	0.253	0.399	0.172	5.09E-05	1.49E-03	ATP6V1G1	Hepatocyte	1
TIMM17A	0.188	0.034	0.183	0.033	5.11E-05	1.49E-03	TIMM17A	Hepatocyte	1
PERP	0.282	0.144	0.272	0.090	5.13E-05	1.49E-03	PERP	Hepatocyte	1
DHCR242	0.085	0.333	0.085	0.197	5.16E-05	1.50E-03	DHCR24	Hepatocyte	-1
RTN41	0.587	0.335	0.501	0.230	5.25E-05	1.52E-03	RTN4	Hepatocyte	1
DST2	0.007	0.092	0.007	0.057	5.33E-05	1.54E-03	DST	Hepatocyte	-1
ERP29	0.314	0.168	0.300	0.098	5.53E-05	1.60E-03	ERP29	Hepatocyte	1
MORF4L2	0.333	0.174	0.312	0.107	5.55E-05	1.60E-03	MORF4L2	Hepatocyte	1
AOX1	0.365	0.217	0.325	0.115	5.62E-05	1.61E-03	AOX1	Hepatocyte	1
TMEM220	0.210	0.065	0.201	0.041	6.12E-05	1.75E-03	TMEM220	Hepatocyte	1
ARF12	0.261	0.117	0.252	0.074	6.17E-05	1.76E-03	ARF1	Hepatocyte	1
AK2	0.226	0.063	0.220	0.057	6.40E-05	1.82E-03	AK2	Hepatocyte	1
RNF5	0.217	0.065	0.208	0.049	6.42E-05	1.82E-03	RNF5	Hepatocyte	1
DNAJA12	0.391	0.217	0.370	0.148	6.63E-05	1.88E-03	DNAJA1	Hepatocyte	1
MTHFD1	0.183	0.041	0.178	0.033	6.66E-05	1.88E-03	MTHFD1	Hepatocyte	1
NR1H4	0.183	0.064	0.178	0.033	7.17E-05	2.02E-03	NR1H4	Hepatocyte	1
AIFM1	0.187	0.057	0.183	0.033	7.25E-05	2.04E-03	AIFM1	Hepatocyte	1
MTCH2	0.397	0.263	0.369	0.156	7.46E-05	2.09E-03	MTCH2	Hepatocyte	1
MPLKIP	0.198	0.046	0.194	0.041	7.60E-05	2.13E-03	MPLKIP	Hepatocyte	1
SNX17	0.118	0.000	0.116	0.000	7.72E-05	2.15E-03	SNX17	Hepatocyte	1
PSMA3	0.428	0.240	0.393	0.164	7.86E-05	2.19E-03	PSMA3	Hepatocyte	1
PRDX2	0.691	0.452	0.580	0.295	7.97E-05	2.21E-03	PRDX2	Hepatocyte	1
C1orf43	0.194	0.052	0.189	0.041	8.13E-05	2.25E-03	C1orf43	Hepatocyte	1
GLYATL1	0.280	0.110	0.263	0.082	8.18E-05	2.26E-03	GLYATL1	Hepatocyte	1
MRPL13	0.217	0.071	0.208	0.049	8.65E-05	2.39E-03	MRPL13	Hepatocyte	1
C4orf3	0.378	0.206	0.349	0.148	8.68E-05	2.39E-03	C4orf3	Hepatocyte	1
MRPL12	0.227	0.070	0.215	0.057	8.76E-05	2.41E-03	MRPL12	Hepatocyte	1
PRDX61	0.792	0.513	0.628	0.344	8.83E-05	2.42E-03	PRDX6	Hepatocyte	1
ERH	0.452	0.263	0.414	0.180	8.90E-05	2.43E-03	ERH	Hepatocyte	1
PRDX51	0.609	0.393	0.531	0.262	8.96E-05	2.44E-03	PRDX5	Hepatocyte	1
C1QBP	0.330	0.161	0.312	0.115	9.62E-05	2.62E-03	C1QBP	Hepatocyte	1
PCK2	0.192	0.052	0.187	0.041	9.67E-05	2.62E-03	PCK2	Hepatocyte	1
PSMC2	0.196	0.052	0.192	0.041	9.71E-05	2.63E-03	PSMC2	Hepatocyte	1
SLC27A2	0.138	0.010	0.131	0.008	9.93E-05	2.68E-03	SLC27A2	Hepatocyte	1
ALDH8A1	0.176	0.037	0.175	0.033	1.01E-04	2.73E-03	ALDH8A1	Hepatocyte	1
RANBP11	0.326	0.167	0.298	0.115	1.02E-04	2.74E-03	RANBP1	Hepatocyte	1
JUND	0.053	0.182	0.053	0.148	1.03E-04	2.76E-03	JUND	Hepatocyte	-1
KHK	0.371	0.194	0.347	0.148	1.04E-04	2.78E-03	KHK	Hepatocyte	1
SUCLG1	0.345	0.157	0.326	0.131	1.07E-04	2.84E-03	SUCLG1	Hepatocyte	1
APOC2	1.169	2.042	0.772	0.656	1.07E-04	2.85E-03	APOC2	Hepatocyte	-1
H3F3B3	0.895	0.634	0.688	0.385	1.11E-04	2.96E-03	H3F3B	Hepatocyte	1
PSME21	0.489	0.294	0.423	0.197	1.16E-04	3.06E-03	PSME2	Hepatocyte	1
SERPINA7	0.361	0.187	0.326	0.123	1.18E-04	3.12E-03	SERPINA7	Hepatocyte	1
ITIH33	0.225	0.648	0.220	0.336	1.19E-04	3.14E-03	ITIH3	Hepatocyte	-1
ATP5G3	1.016	0.811	0.750	0.385	1.24E-04	3.26E-03	ATP5G3	Hepatocyte	1
REEP5	0.286	0.153	0.270	0.098	1.27E-04	3.33E-03	REEP5	Hepatocyte	1
ECHDC3	0.206	0.061	0.198	0.049	1.30E-04	3.39E-03	ECHDC3	Hepatocyte	1
ANXA7	0.251	0.100	0.247	0.082	1.31E-04	3.41E-03	ANXA7	Hepatocyte	1
RPLP1	4.608	5.986	0.996	0.934	1.31E-04	3.41E-03	RPLP1	Hepatocyte	-1
EIF4B1	0.155	0.029	0.153	0.025	1.32E-04	3.44E-03	EIF4B	Hepatocyte	1
ALDOA3	0.476	0.260	0.423	0.197	1.33E-04	3.46E-03	ALDOA	Hepatocyte	1
CSTB	0.813	0.640	0.647	0.344	1.40E-04	3.63E-03	CSTB	Hepatocyte	1
SERBP1	0.374	0.200	0.344	0.148	1.41E-04	3.64E-03	SERBP1	Hepatocyte	1
EIF4A11	0.185	0.043	0.182	0.041	1.42E-04	3.67E-03	EIF4A1	Hepatocyte	1
PSMC3	0.227	0.078	0.220	0.066	1.43E-04	3.67E-03	PSMC3	Hepatocyte	1
DHRS71	0.259	0.112	0.254	0.082	1.45E-04	3.72E-03	DHRS7	Hepatocyte	1
TMED9	0.169	0.039	0.168	0.033	1.46E-04	3.75E-03	TMED9	Hepatocyte	1
QPRT	0.400	0.231	0.369	0.156	1.47E-04	3.75E-03	QPRT	Hepatocyte	1
ANG	1.173	0.896	0.735	0.426	1.47E-04	3.75E-03	ANG	Hepatocyte	1
LAMTOR1	0.180	0.046	0.173	0.033	1.48E-04	3.76E-03	LAMTOR1	Hepatocyte	1
NAMPT	0.508	0.335	0.441	0.205	1.49E-04	3.76E-03	NAMPT	Hepatocyte	1
ARPC5L	0.155	0.028	0.155	0.025	1.49E-04	3.76E-03	ARPC5L	Hepatocyte	1
NDUFB8	0.455	0.296	0.437	0.205	1.48E-04	3.76E-03	NDUFB8	Hepatocyte	1
TPST2	0.130	0.008	0.125	0.008	1.49E-04	3.76E-03	TPST2	Hepatocyte	1
PCBD1	0.741	0.504	0.600	0.336	1.50E-04	3.78E-03	PCBD1	Hepatocyte	1
TSC22D1	0.169	0.033	0.166	0.033	1.53E-04	3.84E-03	TSC22D1	Hepatocyte	1
UQCRC1	0.264	0.102	0.259	0.090	1.54E-04	3.86E-03	UQCRC1	Hepatocyte	1
ARPC51	0.279	0.124	0.268	0.090	1.55E-04	3.87E-03	ARPC5	Hepatocyte	1
HSP90AB13	0.672	0.433	0.559	0.295	1.56E-04	3.87E-03	HSP90AB1	Hepatocyte	1
CAPZA2	0.293	0.149	0.284	0.098	1.55E-04	3.87E-03	CAPZA2	Hepatocyte	1
TCEA3	0.251	0.104	0.242	0.082	1.56E-04	3.88E-03	TCEA3	Hepatocyte	1
MAOB	0.168	0.039	0.166	0.033	1.60E-04	3.94E-03	MAOB	Hepatocyte	1
PSMB6	0.385	0.210	0.360	0.156	1.59E-04	3.94E-03	PSMB6	Hepatocyte	1
CYP27A1	0.329	0.153	0.309	0.123	1.61E-04	3.97E-03	CYP27A1	Hepatocyte	1
NIPSNAP1	0.159	0.039	0.157	0.025	1.62E-04	3.99E-03	NIPSNAP1	Hepatocyte	1
NCOA4	0.218	0.065	0.210	0.057	1.68E-04	4.13E-03	NCOA4	Hepatocyte	1
C1S	0.624	0.473	0.504	0.238	1.72E-04	4.22E-03	C1S	Hepatocyte	1
C1QC	0.009	0.094	0.009	0.057	1.74E-04	4.25E-03	C1QC	Hepatocyte	-1
MARCO1	0.004	0.068	0.004	0.041	1.75E-04	4.27E-03	MARCO	Hepatocyte	-1
PDIA31	0.379	0.195	0.356	0.148	1.81E-04	4.41E-03	PDIA3	Hepatocyte	1
TMEM205	0.379	0.210	0.346	0.148	1.83E-04	4.44E-03	TMEM205	Hepatocyte	1
LRRC8B	0.000	0.028	0.000	0.025	1.86E-04	4.45E-03	LRRC8B	Hepatocyte	-1
TMIGD3	0.000	0.053	0.000	0.025	1.86E-04	4.45E-03	TMIGD3	Hepatocyte	-1
C1orf54	0.000	0.050	0.000	0.025	1.86E-04	4.45E-03	C1orf54	Hepatocyte	-1
IL33	0.000	0.039	0.000	0.025	1.86E-04	4.45E-03	IL33	Hepatocyte	-1
HSPA52	0.291	0.132	0.266	0.090	1.85E-04	4.45E-03	HSPA5	Hepatocyte	1
RALGDS	0.000	0.031	0.000	0.025	1.86E-04	4.45E-03	RALGDS	Hepatocyte	-1
MTRNR2L8	0.000	0.031	0.000	0.025	1.86E-04	4.45E-03	MTRNR2L8	Hepatocyte	-1
PLTP	0.011	0.110	0.009	0.057	1.87E-04	4.46E-03	PLTP	Hepatocyte	-1
ARL6IP1	0.331	0.158	0.287	0.115	1.90E-04	4.52E-03	ARL6IP1	Hepatocyte	1
AGXT2	0.189	0.065	0.182	0.041	1.90E-04	4.53E-03	AGXT2	Hepatocyte	1
PSMA21	0.489	0.305	0.443	0.213	1.92E-04	4.55E-03	PSMA2	Hepatocyte	1
S100A41	0.184	0.066	0.169	0.033	1.94E-04	4.60E-03	S100A4	Hepatocyte	1
DLD	0.169	0.038	0.166	0.033	1.95E-04	4.61E-03	DLD	Hepatocyte	1
GNLY2	0.121	0.000	0.104	0.000	2.01E-04	4.74E-03	GNLY	Hepatocyte	1
RPS62	2.491	3.075	0.959	0.877	2.03E-04	4.76E-03	RPS6	Hepatocyte	-1
FBP1	0.501	0.287	0.425	0.205	2.02E-04	4.76E-03	FBP1	Hepatocyte	1
APOA1	4.396	3.689	0.961	0.705	2.03E-04	4.76E-03	APOA1	Hepatocyte	1
SULT1A1	0.199	0.064	0.194	0.049	2.10E-04	4.91E-03	SULT1A1	Hepatocyte	1
HDLBP	0.167	0.033	0.162	0.033	2.11E-04	4.92E-03	HDLBP	Hepatocyte	1
PCK1	0.221	0.079	0.192	0.049	2.11E-04	4.92E-03	PCK1	Hepatocyte	1
NDUFS1	0.121	0.008	0.120	0.008	2.13E-04	4.97E-03	NDUFS1	Hepatocyte	1
TM7SF2	0.206	0.061	0.196	0.057	2.14E-04	4.97E-03	TM7SF2	Hepatocyte	1
PDZK1	0.118	0.008	0.118	0.008	2.17E-04	5.02E-03	PDZK1	Hepatocyte	1
RAP1A1	0.180	0.048	0.178	0.041	2.20E-04	5.08E-03	RAP1A	Hepatocyte	1
ARF4	0.303	0.161	0.293	0.107	2.21E-04	5.09E-03	ARF4	Hepatocyte	1
FH	0.273	0.154	0.266	0.090	2.21E-04	5.10E-03	FH	Hepatocyte	1
EBPL	0.227	0.093	0.220	0.066	2.22E-04	5.10E-03	EBPL	Hepatocyte	1
TMCO1	0.240	0.093	0.236	0.082	2.22E-04	5.10E-03	TMCO1	Hepatocyte	1
RAB11A	0.183	0.045	0.178	0.041	2.24E-04	5.14E-03	RAB11A	Hepatocyte	1
RBBP7	0.102	0.000	0.102	0.000	2.30E-04	5.25E-03	RBBP7	Hepatocyte	1
ARHGDIB3	0.148	0.025	0.136	0.016	2.31E-04	5.26E-03	ARHGDIB	Hepatocyte	1
VDAC2	0.199	0.062	0.194	0.049	2.32E-04	5.27E-03	VDAC2	Hepatocyte	1
ACSL1	0.444	0.276	0.390	0.189	2.38E-04	5.41E-03	ACSL1	Hepatocyte	1
FMO5	0.192	0.059	0.180	0.041	2.40E-04	5.43E-03	FMO5	Hepatocyte	1
JTB	0.314	0.199	0.300	0.123	2.40E-04	5.43E-03	JTB	Hepatocyte	1
C6orf62	0.067	0.231	0.067	0.164	2.45E-04	5.52E-03	C6orf62	Hepatocyte	-1
PHB	0.245	0.098	0.233	0.074	2.45E-04	5.52E-03	PHB	Hepatocyte	1
ITLN1	0.002	0.044	0.002	0.033	2.48E-04	5.57E-03	ITLN1	Hepatocyte	-1
FOXN2	0.002	0.051	0.002	0.033	2.54E-04	5.70E-03	FOXN2	Hepatocyte	-1
CDC123	0.118	0.013	0.118	0.008	2.60E-04	5.82E-03	CDC123	Hepatocyte	1
HEBP1	0.185	0.055	0.178	0.041	2.66E-04	5.94E-03	HEBP1	Hepatocyte	1
FAM213A	0.259	0.104	0.245	0.082	2.73E-04	6.08E-03	FAM213A	Hepatocyte	1
NDUFB12	0.608	1.049	0.522	0.549	2.77E-04	6.17E-03	NDUFB1	Hepatocyte	-1
SRSF32	0.321	0.227	0.307	0.123	2.81E-04	6.25E-03	SRSF3	Hepatocyte	1
EI24	0.221	0.073	0.213	0.066	2.90E-04	6.42E-03	EI24	Hepatocyte	1
NDUFA5	0.233	0.125	0.228	0.074	2.90E-04	6.43E-03	NDUFA5	Hepatocyte	1
ERP44	0.177	0.050	0.173	0.041	2.93E-04	6.47E-03	ERP44	Hepatocyte	1
SRP54	0.130	0.016	0.127	0.016	3.13E-04	6.89E-03	SRP54	Hepatocyte	1
GLUL	0.581	0.282	0.346	0.172	3.14E-04	6.90E-03	GLUL	Hepatocyte	1
GCLM	0.136	0.018	0.131	0.016	3.18E-04	6.96E-03	GCLM	Hepatocyte	1
RAB7A	0.197	0.058	0.194	0.057	3.18E-04	6.96E-03	RAB7A	Hepatocyte	1
SERPINB1	0.116	0.008	0.113	0.008	3.19E-04	6.96E-03	SERPINB1	Hepatocyte	1
RAD23A	0.196	0.085	0.190	0.049	3.18E-04	6.96E-03	RAD23A	Hepatocyte	1
STOML2	0.236	0.124	0.228	0.074	3.22E-04	7.01E-03	STOML2	Hepatocyte	1
SRSF52	0.293	0.142	0.282	0.107	3.23E-04	7.03E-03	SRSF5	Hepatocyte	1
CCT3	0.226	0.085	0.215	0.066	3.26E-04	7.05E-03	CCT3	Hepatocyte	1
RRAGA	0.115	0.008	0.115	0.008	3.26E-04	7.05E-03	RRAGA	Hepatocyte	1
RPS192	2.674	3.455	0.970	0.893	3.26E-04	7.05E-03	RPS19	Hepatocyte	-1
GLRX	0.480	0.306	0.432	0.197	3.34E-04	7.21E-03	GLRX	Hepatocyte	1
BST2	0.388	0.256	0.360	0.156	3.48E-04	7.50E-03	BST2	Hepatocyte	1
TMEM50A	0.145	0.027	0.143	0.025	3.60E-04	7.75E-03	TMEM50A	Hepatocyte	1
HNRNPC	0.379	0.229	0.360	0.164	3.64E-04	7.81E-03	HNRNPC	Hepatocyte	1
RBM32	0.307	0.156	0.284	0.115	3.69E-04	7.91E-03	RBM3	Hepatocyte	1
LAMP2	0.217	0.074	0.208	0.066	3.74E-04	7.99E-03	LAMP2	Hepatocyte	1
NDRG2	0.229	0.085	0.212	0.066	3.77E-04	8.04E-03	NDRG2	Hepatocyte	1
CCT7	0.146	0.039	0.145	0.025	3.89E-04	8.29E-03	CCT7	Hepatocyte	1
XRCC5	0.189	0.064	0.185	0.049	4.11E-04	8.74E-03	XRCC5	Hepatocyte	1
FDX1	0.270	0.133	0.261	0.098	4.21E-04	8.94E-03	FDX1	Hepatocyte	1
BZW11	0.273	0.146	0.263	0.098	4.38E-04	9.29E-03	BZW1	Hepatocyte	1
FTH12	8.069	7.057	1.000	0.934	4.41E-04	9.32E-03	FTH1	Hepatocyte	1
AK3	0.277	0.175	0.273	0.107	4.45E-04	9.37E-03	AK3	Hepatocyte	1
SLC25A11	0.113	0.018	0.111	0.008	4.44E-04	9.37E-03	SLC25A11	Hepatocyte	1
RER1	0.261	0.132	0.256	0.098	4.49E-04	9.43E-03	RER1	Hepatocyte	1
TST	0.448	0.294	0.406	0.197	4.49E-04	9.43E-03	TST	Hepatocyte	1
COMT	0.273	0.130	0.266	0.107	4.63E-04	9.69E-03	COMT	Hepatocyte	1
C14orf1	0.390	0.213	0.356	0.164	4.74E-04	9.92E-03	C14orf1	Hepatocyte	1
ARPC22	0.340	0.230	0.330	0.148	5.01E-04	1.04E-02	ARPC2	Hepatocyte	1
DNAJB92	0.184	0.067	0.178	0.049	5.00E-04	1.04E-02	DNAJB9	Hepatocyte	1
IER3IP1	0.187	0.065	0.183	0.049	5.05E-04	1.05E-02	IER3IP1	Hepatocyte	1
OLA11	0.153	0.045	0.153	0.033	5.17E-04	1.07E-02	OLA1	Hepatocyte	1
VKORC1	0.335	0.166	0.323	0.148	5.29E-04	1.10E-02	VKORC1	Hepatocyte	1
LAMP11	0.189	0.055	0.173	0.049	5.37E-04	1.11E-02	LAMP1	Hepatocyte	1
SARS	0.182	0.068	0.178	0.049	5.40E-04	1.12E-02	SARS	Hepatocyte	1
CNBP2	0.319	0.174	0.300	0.131	5.43E-04	1.12E-02	CNBP	Hepatocyte	1
FKBP2	0.407	0.252	0.363	0.172	5.48E-04	1.13E-02	FKBP2	Hepatocyte	1
MYL6	1.506	1.152	0.884	0.541	5.51E-04	1.13E-02	MYL6	Hepatocyte	1
SHC22	0.014	0.112	0.014	0.066	5.53E-04	1.13E-02	SHC2	Hepatocyte	-1
PCCB	0.141	0.033	0.138	0.025	5.60E-04	1.14E-02	PCCB	Hepatocyte	1
RAB18	0.183	0.067	0.178	0.049	5.60E-04	1.14E-02	RAB18	Hepatocyte	1
LRPAP1	0.108	0.008	0.108	0.008	5.67E-04	1.16E-02	LRPAP1	Hepatocyte	1
INSIG2	0.090	0.000	0.090	0.000	5.90E-04	1.20E-02	INSIG2	Hepatocyte	1
RAB14	0.164	0.045	0.160	0.041	5.93E-04	1.21E-02	RAB14	Hepatocyte	1
SNX2	0.123	0.032	0.123	0.016	6.02E-04	1.22E-02	SNX2	Hepatocyte	1
BHMT2	0.178	0.063	0.175	0.049	6.18E-04	1.25E-02	BHMT2	Hepatocyte	1
MUT	0.164	0.053	0.162	0.041	6.21E-04	1.25E-02	MUT	Hepatocyte	1
SRSF72	0.155	0.042	0.150	0.033	6.22E-04	1.25E-02	SRSF7	Hepatocyte	1
RTN3	0.121	0.020	0.122	0.016	6.32E-04	1.27E-02	RTN3	Hepatocyte	1
EIF53	0.372	0.236	0.351	0.164	6.38E-04	1.28E-02	EIF5	Hepatocyte	1
NAPA	0.192	0.076	0.190	0.057	6.45E-04	1.29E-02	NAPA	Hepatocyte	1
CCNG11	0.118	0.016	0.118	0.016	6.56E-04	1.31E-02	CCNG1	Hepatocyte	1
TECR	0.159	0.051	0.159	0.041	6.77E-04	1.35E-02	TECR	Hepatocyte	1
PNRC13	0.295	0.159	0.277	0.115	6.80E-04	1.36E-02	PNRC1	Hepatocyte	1
HLA-E3	0.196	0.100	0.178	0.049	6.87E-04	1.37E-02	HLA-E	Hepatocyte	1
AZIN1	0.134	0.031	0.134	0.025	6.95E-04	1.38E-02	AZIN1	Hepatocyte	1
CMBL	0.180	0.056	0.171	0.049	7.08E-04	1.41E-02	CMBL	Hepatocyte	1
UBE2K	0.152	0.043	0.150	0.033	7.18E-04	1.42E-02	UBE2K	Hepatocyte	1
IGFBP7	0.055	0.200	0.023	0.082	7.43E-04	1.47E-02	IGFBP7	Hepatocyte	-1
ATP6V0E2	0.118	0.016	0.118	0.016	7.43E-04	1.47E-02	ATP6V0E2	Hepatocyte	1
VAPA	0.300	0.164	0.291	0.131	7.42E-04	1.47E-02	VAPA	Hepatocyte	1
RNF187	0.104	0.008	0.104	0.008	7.47E-04	1.47E-02	RNF187	Hepatocyte	1
MLF2	0.305	0.179	0.289	0.123	7.46E-04	1.47E-02	MLF2	Hepatocyte	1
SPCS11	0.409	0.312	0.383	0.189	7.51E-04	1.47E-02	SPCS1	Hepatocyte	1
ATPIF1	0.570	0.413	0.494	0.262	7.56E-04	1.48E-02	ATPIF1	Hepatocyte	1
CPT2	0.087	0.000	0.086	0.000	7.71E-04	1.51E-02	CPT2	Hepatocyte	1
MAP4K4	0.005	0.069	0.005	0.041	7.94E-04	1.55E-02	MAP4K4	Hepatocyte	-1
SNRPB2	0.222	0.108	0.210	0.074	8.07E-04	1.57E-02	SNRPB2	Hepatocyte	1
RAD23B	0.227	0.115	0.220	0.082	8.20E-04	1.60E-02	RAD23B	Hepatocyte	1
DAD1	0.229	0.100	0.222	0.082	8.22E-04	1.60E-02	DAD1	Hepatocyte	1
SELT	0.161	0.054	0.160	0.041	8.37E-04	1.62E-02	SELT	Hepatocyte	1
DUT	0.208	0.083	0.187	0.057	8.46E-04	1.64E-02	DUT	Hepatocyte	1
PSAT1	0.238	0.133	0.233	0.082	8.50E-04	1.64E-02	PSAT1	Hepatocyte	1
UGT2B15	0.268	0.132	0.243	0.098	8.52E-04	1.64E-02	UGT2B15	Hepatocyte	1
KIF1B	0.005	0.041	0.005	0.041	8.58E-04	1.65E-02	KIF1B	Hepatocyte	-1
MASP2	0.612	0.471	0.524	0.279	8.60E-04	1.65E-02	MASP2	Hepatocyte	1
TNIP1	0.102	0.010	0.102	0.008	8.62E-04	1.65E-02	TNIP1	Hepatocyte	1
EIF3I1	0.217	0.103	0.212	0.074	8.93E-04	1.71E-02	EIF3I	Hepatocyte	1
H2AFZ2	0.492	0.224	0.296	0.139	8.97E-04	1.72E-02	H2AFZ	Hepatocyte	1
BLVRB	0.746	0.600	0.617	0.336	9.00E-04	1.72E-02	BLVRB	Hepatocyte	1
POLR2E	0.196	0.064	0.187	0.057	9.02E-04	1.72E-02	POLR2E	Hepatocyte	1
STRA13	0.231	0.129	0.226	0.082	9.05E-04	1.72E-02	STRA13	Hepatocyte	1
HNMT	0.201	0.075	0.198	0.066	9.09E-04	1.73E-02	HNMT	Hepatocyte	1
HNRNPA03	0.148	0.037	0.145	0.033	9.35E-04	1.77E-02	HNRNPA0	Hepatocyte	1
C1R	0.442	0.253	0.363	0.180	9.36E-04	1.77E-02	C1R	Hepatocyte	1
HSD11B1	0.218	0.099	0.203	0.066	9.55E-04	1.79E-02	HSD11B1	Hepatocyte	1
RAB4A	0.129	0.027	0.129	0.025	9.52E-04	1.79E-02	RAB4A	Hepatocyte	1
SLC25A4	0.136	0.035	0.132	0.025	9.51E-04	1.79E-02	SLC25A4	Hepatocyte	1
MSRA	0.130	0.025	0.131	0.025	9.53E-04	1.79E-02	MSRA	Hepatocyte	1
H1F0	0.217	0.103	0.201	0.066	9.54E-04	1.79E-02	H1F0	Hepatocyte	1
ANXA5	0.164	0.053	0.160	0.041	9.76E-04	1.83E-02	ANXA5	Hepatocyte	1
CLNS1A	0.217	0.119	0.213	0.074	9.77E-04	1.83E-02	CLNS1A	Hepatocyte	1
TXNRD1	0.099	0.008	0.099	0.008	9.76E-04	1.83E-02	TXNRD1	Hepatocyte	1
FKBP4	0.102	0.010	0.101	0.008	9.80E-04	1.83E-02	FKBP4	Hepatocyte	1
IGFBP1	0.275	0.148	0.224	0.082	9.89E-04	1.84E-02	IGFBP1	Hepatocyte	1
VCP	0.190	0.066	0.182	0.057	9.90E-04	1.84E-02	VCP	Hepatocyte	1
SERP1	0.343	0.240	0.328	0.148	1.00E-03	1.86E-02	SERP1	Hepatocyte	1
ZFAND61	0.247	0.112	0.236	0.090	1.01E-03	1.86E-02	ZFAND6	Hepatocyte	1
CXADR	0.083	0.000	0.083	0.000	1.01E-03	1.86E-02	CXADR	Hepatocyte	1
PPIC	0.099	0.008	0.099	0.008	1.01E-03	1.87E-02	PPIC	Hepatocyte	1
AIG1	0.264	0.126	0.252	0.107	1.02E-03	1.87E-02	AIG1	Hepatocyte	1
UBE2V2	0.116	0.022	0.115	0.016	1.02E-03	1.87E-02	UBE2V2	Hepatocyte	1
CCNC	0.145	0.044	0.143	0.033	1.02E-03	1.88E-02	CCNC	Hepatocyte	1
PSMC51	0.208	0.089	0.203	0.074	1.04E-03	1.90E-02	PSMC5	Hepatocyte	1
PTP4A1	0.402	0.273	0.377	0.189	1.06E-03	1.94E-02	PTP4A1	Hepatocyte	1
RBM8A1	0.220	0.096	0.213	0.082	1.07E-03	1.96E-02	RBM8A	Hepatocyte	1
HNRNPH2	0.134	0.036	0.131	0.025	1.10E-03	2.01E-02	HNRNPH2	Hepatocyte	1
TSFM	0.134	0.038	0.131	0.025	1.11E-03	2.02E-02	TSFM	Hepatocyte	1
STK17A1	0.115	0.018	0.113	0.016	1.12E-03	2.03E-02	STK17A	Hepatocyte	1
SLC2A2	0.301	0.154	0.277	0.123	1.12E-03	2.03E-02	SLC2A2	Hepatocyte	1
SPON2	0.099	0.017	0.099	0.008	1.12E-03	2.03E-02	SPON2	Hepatocyte	1
CYP2D6	0.189	0.063	0.182	0.057	1.12E-03	2.03E-02	CYP2D6	Hepatocyte	1
